hs6,chapter,description,mfn_percent,effective_percent,section301_extra_percent,tariff_lines_aggregated
390110,39,"Polymers of ethylene, in primary forms : Polyethylene having a specific gravity of less than 0,94",6.5,31.5,25,2
390120,39,"Polymers of ethylene, in primary forms : Polyethylene having a specific gravity of 0,94 or more",6.5,31.5,25,2
390130,39,"Polymers of ethylene, in primary forms : Ethylenevinyl acetate copolymers",2.6,27.6,25,2
390140,39,"Polymers of ethylene, in primary forms : Ethylenealphaolefins copolymers, having a specific gravity of less than 0,94",6.5,31.5,25,1
390190,39,"Polymers of ethylene, in primary forms : Other",4.3,29.3,25,3
390210,39,"Polymers of propylene or of other olefins, in primary forms : Polypropylene",6.5,31.5,25,1
390220,39,"Polymers of propylene or of other olefins, in primary forms : Polyisobutylene",3.3,28.3,25,2
390230,39,"Polymers of propylene or of other olefins, in primary forms : Propylene copolymers",6.5,31.5,25,1
390290,39,"Polymers of propylene or of other olefins, in primary forms : Other",6.5,31.5,25,1
390311,39,"Polymers of styrene, in primary forms : Polystyrene : Expansible",6.5,31.5,25,1
390319,39,"Polymers of styrene, in primary forms : Polystyrene : Other",6.5,31.5,25,1
390320,39,"Polymers of styrene, in primary forms : Styreneacrylonitrile (SAN) copolymers",6.5,31.5,25,1
390330,39,"Polymers of styrene, in primary forms : Acrylonitrilebutadienestyrene (ABS) copolymers",6.5,31.5,25,1
390390,39,"Polymers of styrene, in primary forms : Other",6.5,31.5,25,2
390410,39,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms : Poly(vinyl chloride), not mixed with any other substances",6.5,31.5,25,1
390421,39,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms : Other poly(vinyl chloride) : Nonplasticised",6.5,31.5,25,1
390422,39,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms : Other poly(vinyl chloride) : Plasticised",6.5,31.5,25,1
390430,39,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms : Vinyl chloridevinyl acetate copolymers",2.6,27.6,25,2
390440,39,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms : Other vinyl chloride copolymers",5.3,30.3,25,1
390450,39,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms : Vinylidene chloride polymers",6.5,31.5,25,1
390461,39,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms : Fluoropolymers : Polytetrafluoroethylene",5.8,30.8,25,1
390469,39,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms : Fluoropolymers : Other",3.3,28.3,25,2
390490,39,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms : Other",3.3,28.3,25,2
390512,39,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms : Poly(vinyl acetate) : In aqueous dispersion",4,29,25,1
390519,39,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms : Poly(vinyl acetate) : Other",4,29,25,1
390521,39,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms : Vinyl acetate copolymers : In aqueous dispersion",4,29,25,1
390529,39,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms : Vinyl acetate copolymers : Other",4,29,25,1
390530,39,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms : Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",3.2,28.2,25,1
390591,39,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms : Other : Copolymers",4.7,29.6,25,2
390599,39,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms : Other : Other",2.6,27.6,25,2
390610,39,Acrylic polymers in primary forms : Poly(methyl methacrylate),6.3,31.3,25,1
390690,39,Acrylic polymers in primary forms : Other,3.5,28.5,25,3
390710,39,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms : Polyacetals",6.5,31.5,25,1
390721,39,Bis(polyoxyethylene) methylphosphonate,6.5,31.5,25,1
390729,39,Other,6.5,31.5,25,1
390730,39,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms : Epoxide resins",6.1,31.1,25,1
390740,39,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms : Polycarbonates",5.8,30.8,25,1
390750,39,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms : Alkyd resins",6.5,31.5,25,1
390761,39,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms : Poly(ethylene terephthalate) : Having a viscosity number of 78 ml/g or higher",6.5,31.5,25,1
390769,39,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms : Poly(ethylene terephthalate) : Other",6.5,31.5,25,1
390770,39,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms : Poly(lactic acid)",6.5,31.5,25,1
390791,39,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms : Other polyesters : Unsaturated",4.1,29.1,25,3
390799,39,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms : Other polyesters : Other",3.3,28.3,25,2
390810,39,"Polyamides in primary forms : Polyamide6, 11, 12, 6,6, 6,9, 6,10 or 6,12",6.3,31.3,25,1
390890,39,Polyamides in primary forms : Other,3.3,28.3,25,2
390910,39,"Aminoresins, phenolic resins and polyurethanes, in primary forms : Urea resins; thiourea resins",6.5,31.5,25,1
390920,39,"Aminoresins, phenolic resins and polyurethanes, in primary forms : Melamine resins",6.5,31.5,25,1
390931,39,"Aminoresins, phenolic resins and polyurethanes, in primary forms : Other aminoresins : Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",6.5,31.5,25,1
390939,39,"Aminoresins, phenolic resins and polyurethanes, in primary forms : Other aminoresins : Other",6.5,31.5,25,1
390940,39,"Aminoresins, phenolic resins and polyurethanes, in primary forms : Phenolic resins",6.5,31.5,25,1
390950,39,"Aminoresins, phenolic resins and polyurethanes, in primary forms : Polyurethanes",2.8,27.8,25,3
391000,39,Silicones in primary forms,3,28,25,1
391110,39,"Petroleum resins, coumaroneindene resins, polyterpenes, polysulphides, polysulphones and other products specified in note 3 to this chapter, not elsewhere specified or included, in primary forms : Petroleum resins, coumarone, indene or coumaroneindene resins and polyterpenes",6.1,31.1,25,1
391120,39,"Poly(1,3-phenylene methylphosphonate)",6.5,31.5,25,1
391190,39,"Petroleum resins, coumaroneindene resins, polyterpenes, polysulphides, polysulphones and other products specified in note 3 to this chapter, not elsewhere specified or included, in primary forms : Other",2.6,27.6,25,7
391211,39,"Cellulose and its chemical derivatives, not elsewhere specified or included, in primary forms : Cellulose acetates : Nonplasticised",5.6,30.6,25,1
391212,39,"Cellulose and its chemical derivatives, not elsewhere specified or included, in primary forms : Cellulose acetates : Plasticised",5.6,30.6,25,1
391220,39,"Cellulose and its chemical derivatives, not elsewhere specified or included, in primary forms : Cellulose nitrates (including collodions)",5.2,30.2,25,1
391231,39,"Cellulose and its chemical derivatives, not elsewhere specified or included, in primary forms : Cellulose ethers : Carboxymethylcellulose and its salts",6.4,31.4,25,1
391239,39,"Cellulose and its chemical derivatives, not elsewhere specified or included, in primary forms : Cellulose ethers : Other",4.2,29.2,25,1
391290,39,"Cellulose and its chemical derivatives, not elsewhere specified or included, in primary forms : Other",5.2,30.2,25,1
391310,39,"Natural polymers (for example, alginic acid) and modified natural polymers (for example, hardened proteins, chemical derivatives of natural rubber), not elsewhere specified or included, in primary forms : Alginic acid, its salts and esters",4.2,11.7,7.5,1
391390,39,"Natural polymers (for example, alginic acid) and modified natural polymers (for example, hardened proteins, chemical derivatives of natural rubber), not elsewhere specified or included, in primary forms : Other",4.1,29.1,25,3
391400,39,"Ionexchangers based on polymers of headings 3901 to 3913, in primary forms",1.9,26.9,25,2
391510,39,"Waste, parings and scrap, of plastics : Of polymers of ethylene",0,25,25,1
391520,39,"Waste, parings and scrap, of plastics : Of polymers of styrene",0,25,25,1
391530,39,"Waste, parings and scrap, of plastics : Of polymers of vinyl chloride",0,25,25,1
391590,39,"Waste, parings and scrap, of plastics : Of other plastics",0,25,25,1
391610,39,"Monofilament of which any crosssectional dimension exceeds 1 mm, rods, sticks and profile shapes, whether or not surfaceworked but not otherwise worked, of plastics : Of polymers of ethylene",5.8,30.8,25,1
391620,39,"Monofilament of which any crosssectional dimension exceeds 1 mm, rods, sticks and profile shapes, whether or not surfaceworked but not otherwise worked, of plastics : Of polymers of vinyl chloride",5.8,30.8,25,1
391690,39,"Monofilament of which any crosssectional dimension exceeds 1 mm, rods, sticks and profile shapes, whether or not surfaceworked but not otherwise worked, of plastics : Of other plastics",5.5,30.5,25,4
391710,39,"Tubes, pipes and hoses, and fittings therefor (for example, joints, elbows, flanges), of plastics : Artificial guts (sausage casings) of hardened protein or of cellulosic materials",3.6,28.6,25,3
391721,39,"Tubes, pipes and hoses, and fittings therefor (for example, joints, elbows, flanges), of plastics : Tubes, pipes and hoses, rigid : Of polymers of ethylene",3.1,28.1,25,1
391722,39,"Tubes, pipes and hoses, and fittings therefor (for example, joints, elbows, flanges), of plastics : Tubes, pipes and hoses, rigid : Of polymers of propylene",3.1,28.1,25,1
391723,39,"Tubes, pipes and hoses, and fittings therefor (for example, joints, elbows, flanges), of plastics : Tubes, pipes and hoses, rigid : Of polymers of vinyl chloride",3.1,28.1,25,1
391729,39,"Tubes, pipes and hoses, and fittings therefor (for example, joints, elbows, flanges), of plastics : Tubes, pipes and hoses, rigid : Of other plastics",3.1,28.1,25,1
